"","var","var_label"
"1","Response_ID","Response ID"
"2","IP","IP"
"3","TS","Timestamp"
"4","Time_Taken","Time Taken"
"5","Seq_Number","Seq Number"
"6","External_Reference","External Reference"
"7","C1","Custom 1"
"8","C2","Custom 2"
"9","C3","Custom 3"
"10","C4","Custom 4"
"11","C5","Custom 5"
"12","Email","Respondent Email"
"13","Country_Code","Country Code"
"14","Region","Region"
"15","Language","Language"
"16","Q1","Folio - Folio de encuesta [completar antes de iniciar]"
"17","Q2","Encuestador - Nombre completo encuestador (nombre y apellido)"
"18","Q3","Introducción  - Usted ha sido invitado/a a participar en la “Encuesta de Demanda Laboral de Proyectos de Inversión” del"
"19","Q4","Consentimiento - ¿Acepta participar de la encuesta?"
"20","Q5","Incidencia - ¿Por qué no desea responder la encuesta? "
"21","Q6","Otro día - Complete la información para agendar para otro día "
"22","Q7R1","Datos - Nombre"
"23","Q7R2","Datos - Cargo en la empresa"
"24","Q7R3","Datos - Correo electrónico "
"25","Q7R4","Datos - Número de teléfono (9 dígitos)"
"26","Q8","A - Para partir, le vamos a solicitar algunos datos, para poder contactarlo en caso de dudas. Recuerde que toda la infor"
"27","Q9R1","A1-A4 - Nombre"
"28","Q9R2","A1-A4 - Cargo en la empresa"
"29","Q9R3","A1-A4 - Correo electrónico"
"30","Q9R4","A1-A4 - Teléfono de contacto (9 dígitos)"
"31","Q10","A5 - ¿Nos podría confirmar el nombre del proyecto u obra que ejecuta, o ejecutará, su empresa? [Leer nombre del proyecto"
"32","Q11A1","A6-¿En qué región se ubican las obras que está ejecutando (o va a ejecutar) su empresa para este proyecto? [Si las obras"
"33","Q11A2","A6-¿En qué región se ubican las obras que está ejecutando (o va a ejecutar) su empresa para este proyecto? [Si las obras"
"34","Q11A3","A6-¿En qué región se ubican las obras que está ejecutando (o va a ejecutar) su empresa para este proyecto? [Si las obras"
"35","Q11A4","A6-¿En qué región se ubican las obras que está ejecutando (o va a ejecutar) su empresa para este proyecto? [Si las obras"
"36","Q11A5","A6-¿En qué región se ubican las obras que está ejecutando (o va a ejecutar) su empresa para este proyecto? [Si las obras"
"37","Q11A6","A6-¿En qué región se ubican las obras que está ejecutando (o va a ejecutar) su empresa para este proyecto? [Si las obras"
"38","Q11A7","A6-¿En qué región se ubican las obras que está ejecutando (o va a ejecutar) su empresa para este proyecto? [Si las obras"
"39","Q11A8","A6-¿En qué región se ubican las obras que está ejecutando (o va a ejecutar) su empresa para este proyecto? [Si las obras"
"40","Q11A9","A6-¿En qué región se ubican las obras que está ejecutando (o va a ejecutar) su empresa para este proyecto? [Si las obras"
"41","Q11A10","A6-¿En qué región se ubican las obras que está ejecutando (o va a ejecutar) su empresa para este proyecto? [Si las obras"
"42","Q11A11","A6-¿En qué región se ubican las obras que está ejecutando (o va a ejecutar) su empresa para este proyecto? [Si las obras"
"43","Q11A12","A6-¿En qué región se ubican las obras que está ejecutando (o va a ejecutar) su empresa para este proyecto? [Si las obras"
"44","Q11A13","A6-¿En qué región se ubican las obras que está ejecutando (o va a ejecutar) su empresa para este proyecto? [Si las obras"
"45","Q11A14","A6-¿En qué región se ubican las obras que está ejecutando (o va a ejecutar) su empresa para este proyecto? [Si las obras"
"46","Q11A15","A6-¿En qué región se ubican las obras que está ejecutando (o va a ejecutar) su empresa para este proyecto? [Si las obras"
"47","Q11A16","A6-¿En qué región se ubican las obras que está ejecutando (o va a ejecutar) su empresa para este proyecto? [Si las obras"
"48","Q12","A7 - ¿Y en qué comuna? [Identifique la comuna que concentra la mayor parte de las obras si hubiera más de una. Si no es"
"49","Q13A1","A8-Valor - Millones de pesos chilenos"
"50","Q13A2","A8-Valor - Millones de dólares"
"51","Q13A3","A8-Valor - No responde"
"52","Q13A4","A8-Valor - No sabe"
"53","Q14","A9 - En su rol o cargo dentro de la empresa, ¿maneja información de los puestos de trabajo requeridos por su empresa par"
"54","Q15R1","A10-A13 - Nombre"
"55","Q15R2","A10-A13 - Cargo en la empresa"
"56","Q15R3","A10-A13 - Correo Electrónico "
"57","Q15R4","A10-A13 - Número de teléfono (9 dígitos)"
"58","Q16","Intro B1 - En esta sección le vamos a solicitar información del proyecto [NOMBRE PROYECTO] y la mano de obra requerida p"
"59","Q17","B1 -  ¿En qué etapa de desarrollo se encuentran las obras asociadas al proyecto?"
"60","Q18","B2a - De acuerdo a los antecedentes que maneja actualmente, ¿en qué año proyecta que van a empezar las contrataciones de"
"61","Q19","B2b - ¿Y en qué mes? "
"62","Q20","B3a - ¿Y en qué año proyecta que van a concluir las obras de construcción que están a cargo de su empresa?"
"63","Q21","B3b - ¿Y en qué mes? "
"64","Q22R1","B4a - Trabajadores contratados directamente"
"65","Q22R2","B4a - Trabajadores subcontratados"
"66","Q23R1A1","B4b-Encargados de obra (administradores de obra, jefes de terreno, encargados de bodega, etc.) - Trabajadores contratado"
